epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.1634,8.73034,9.49856,8.24354,0.00177,0.01351,0.00093,0.00014,8.87582,7.52079,7.90964,0.0701288,0.00331903,0.00331903
2,174.217,6.99005,7.59303,6.94019,0.05724,0.12162,0.02042,0.00289,6.94982,15.6868,5.91369,0.0400629,0.0065865,0.0065865
3,252.456,5.47343,6.09468,5.88944,0.10296,0.12838,0.0495,0.00881,6.45861,8.93168,5.04116,0.00993104,0.00978798,0.00978798
4,331.461,4.74931,5.39134,5.14041,0.15056,0.16216,0.06183,0.01232,5.7878,8.27499,5.12625,0.009703,0.009703,0.009703
5,409.295,4.12827,4.70921,4.52785,0.25466,0.18919,0.13977,0.04483,4.88346,5.71551,4.32546,0.009604,0.009604,0.009604
6,486.928,3.69898,4.23096,4.10507,0.35905,0.29054,0.23503,0.06717,4.79139,4.96883,4.03114,0.009505,0.009505,0.009505
7,564.442,3.41944,3.77394,3.81183,0.35716,0.35135,0.28116,0.11735,4.27438,4.4776,3.8664,0.009406,0.009406,0.009406
8,641.824,3.22701,3.543,3.58265,0.47264,0.30885,0.31829,0.14473,3.88659,4.35913,3.63865,0.009307,0.009307,0.009307
9,718.811,3.04832,3.28485,3.41849,0.3704,0.27027,0.22856,0.07676,3.8662,5.31193,3.45496,0.009208,0.009208,0.009208
10,795.28,2.92458,3.10535,3.287,0.4496,0.44708,0.40694,0.16181,3.41672,4.15766,3.24044,0.009109,0.009109,0.009109
11,871.622,2.80423,3.02339,3.18815,0.44388,0.41892,0.39722,0.18159,3.51957,3.86327,3.09314,0.00901,0.00901,0.00901
12,947.623,2.75828,2.94581,3.1351,0.5476,0.5,0.47333,0.25349,3.12206,3.839,2.91755,0.008911,0.008911,0.008911
13,1023.56,2.67313,2.83358,3.06105,0.79958,0.38514,0.52685,0.26061,3.16114,3.5085,2.94924,0.008812,0.008812,0.008812
14,1100.75,2.64521,2.77199,3.00227,0.50066,0.5473,0.46287,0.22441,3.00152,3.62925,2.82037,0.008713,0.008713,0.008713
15,1176.62,2.56825,2.6954,2.97001,0.48496,0.46445,0.4029,0.23901,2.89863,3.64688,2.78354,0.008614,0.008614,0.008614
16,1252.8,2.56137,2.64669,2.9365,0.6228,0.5,0.50738,0.27167,3.00814,3.33754,2.81385,0.008515,0.008515,0.008515
17,1329.2,2.50884,2.59297,2.88487,0.55212,0.5473,0.52982,0.34132,2.72489,3.23967,2.73458,0.008416,0.008416,0.008416
