epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.593,6.95992,11.1381,7.02584,0.04675,0.06757,0.01015,0.00169,6.73701,18.3944,6.83966,0.000663805,0.000663805,0.000663805
2,199.213,5.06624,5.84103,5.40672,0.08045,0.16216,0.05023,0.01275,5.57716,6.47766,5.13125,0.0013173,0.0013173,0.0013173
3,289.92,4.4528,4.87592,4.69532,0.28871,0.30443,0.20714,0.06639,4.8624,5.3901,4.46386,0.0019576,0.0019576,0.0019576
4,380.31,3.98034,4.30471,4.11738,0.29018,0.31757,0.21551,0.07056,4.37261,4.9294,4.00294,0.0019406,0.0019406,0.0019406
5,470.706,3.62626,3.81745,3.7083,0.46896,0.33108,0.35647,0.14888,3.96555,4.58117,3.6707,0.0019208,0.0019208,0.0019208
6,561.284,3.35183,3.45077,3.42586,0.39359,0.39032,0.2915,0.12945,3.59501,4.63642,3.48854,0.001901,0.001901,0.001901
7,651.532,3.0666,3.09072,3.149,0.57664,0.43919,0.45494,0.23267,3.194,3.75508,3.02154,0.0018812,0.0018812,0.0018812
8,742.465,2.94629,2.94783,3.0308,0.47571,0.47297,0.40839,0.23145,3.09389,3.63911,2.87426,0.0018614,0.0018614,0.0018614
9,833.494,2.82964,2.7887,2.94592,0.64105,0.49476,0.49794,0.27404,2.91237,3.61925,2.85453,0.0018416,0.0018416,0.0018416
10,923.794,2.72752,2.70111,2.86485,0.65884,0.50891,0.50353,0.28558,2.85029,3.51382,2.71628,0.0018218,0.0018218,0.0018218
11,1014.45,2.64106,2.63801,2.79861,0.64162,0.49324,0.52178,0.30259,2.94346,3.34081,2.76717,0.001802,0.001802,0.001802
12,1105.59,2.6022,2.5848,2.78128,0.79485,0.49324,0.54412,0.32434,2.76352,3.17676,2.60636,0.0017822,0.0017822,0.0017822
13,1196.56,2.5302,2.47499,2.72424,0.71191,0.51762,0.55496,0.33772,2.82733,3.25905,2.58973,0.0017624,0.0017624,0.0017624
14,1288.15,2.50877,2.40889,2.67487,0.72397,0.53166,0.58062,0.33625,2.62922,3.12979,2.54818,0.0017426,0.0017426,0.0017426
15,1379.26,2.44052,2.36041,2.65457,0.59832,0.59381,0.50637,0.33755,2.4384,3.11223,2.46762,0.0017228,0.0017228,0.0017228
16,1470.04,2.43715,2.36031,2.62996,0.69596,0.51351,0.57339,0.40189,2.45606,3.00851,2.42027,0.001703,0.001703,0.001703
17,1560.85,2.39843,2.25666,2.60325,0.76254,0.54054,0.60351,0.39049,2.73859,2.86972,2.55234,0.0016832,0.0016832,0.0016832
18,1651.65,2.34587,2.24165,2.57561,0.73926,0.55557,0.58638,0.37266,2.69864,2.94058,2.53489,0.0016634,0.0016634,0.0016634
19,1742.23,2.36581,2.2828,2.59102,0.67783,0.59459,0.56932,0.38816,2.40712,2.83194,2.40161,0.0016436,0.0016436,0.0016436
20,1834.59,2.31921,2.19738,2.54343,0.79673,0.55618,0.63284,0.41125,2.5556,2.76313,2.44815,0.0016238,0.0016238,0.0016238
21,1926.94,2.30666,2.21639,2.55083,0.79977,0.58784,0.64458,0.43412,2.33729,2.67385,2.35649,0.001604,0.001604,0.001604
22,2017.85,2.2647,2.13541,2.52897,0.69229,0.53207,0.57294,0.38582,2.46283,2.75494,2.44446,0.0015842,0.0015842,0.0015842
23,2108.72,2.24566,2.09926,2.50531,0.63347,0.54054,0.55332,0.36518,2.36656,2.79675,2.30664,0.0015644,0.0015644,0.0015644
24,2199.79,2.23176,2.1059,2.49603,0.69325,0.58784,0.61938,0.42665,2.36312,2.80569,2.40402,0.0015446,0.0015446,0.0015446
25,2290.48,2.20859,2.05097,2.46137,0.6889,0.52703,0.57744,0.4101,2.23702,2.58919,2.34621,0.0015248,0.0015248,0.0015248
26,2380.59,2.20348,2.06983,2.47653,0.84829,0.54054,0.63205,0.42811,2.26035,2.80024,2.2469,0.001505,0.001505,0.001505
27,2471.06,2.18299,2.02632,2.46149,0.71711,0.56081,0.60756,0.43644,2.24953,2.7897,2.28755,0.0014852,0.0014852,0.0014852
28,2561.83,2.18543,2.05791,2.45151,0.78769,0.55405,0.64093,0.44948,2.27341,2.62608,2.27735,0.0014654,0.0014654,0.0014654
29,2652.4,2.14593,1.98453,2.43771,0.77714,0.5473,0.63881,0.45236,2.19477,2.55591,2.28734,0.0014456,0.0014456,0.0014456
30,2742.61,2.10235,1.9446,2.39432,0.68332,0.62162,0.65963,0.46335,2.18699,2.66614,2.26733,0.0014258,0.0014258,0.0014258
31,2833.14,2.13986,1.9612,2.42356,0.77356,0.59459,0.66065,0.46528,2.07181,2.36468,2.19114,0.001406,0.001406,0.001406
32,2923.11,2.12354,1.96118,2.41223,0.80661,0.56081,0.63248,0.47496,2.03685,2.49058,2.17697,0.0013862,0.0013862,0.0013862
33,3013.06,2.10104,1.96062,2.40982,0.68188,0.59459,0.62375,0.42771,2.15575,2.60718,2.16967,0.0013664,0.0013664,0.0013664
34,3102.93,2.08265,1.90914,2.39567,0.78506,0.61486,0.6592,0.47178,2.19644,2.34123,2.2454,0.0013466,0.0013466,0.0013466
35,3192.77,2.07017,1.87973,2.38159,0.74102,0.58,0.62346,0.4277,2.17895,2.5626,2.21767,0.0013268,0.0013268,0.0013268
36,3283.18,2.0744,1.90071,2.38755,0.74975,0.56081,0.59155,0.42402,2.1139,2.61807,2.2168,0.001307,0.001307,0.001307
37,3373.01,2.03948,1.82223,2.36168,0.76856,0.62825,0.69005,0.4737,2.19188,2.40156,2.28139,0.0012872,0.0012872,0.0012872
38,3463.15,2.01413,1.84731,2.34565,0.74222,0.60309,0.66093,0.4723,2.14582,2.35403,2.23787,0.0012674,0.0012674,0.0012674
39,3553.12,2.01241,1.84063,2.36005,0.71034,0.56081,0.60743,0.41179,2.29515,2.60247,2.34882,0.0012476,0.0012476,0.0012476
40,3642.94,2.05243,1.83162,2.36214,0.70835,0.55798,0.58732,0.43093,2.14662,2.58388,2.29861,0.0012278,0.0012278,0.0012278
41,3733.01,2.01389,1.82909,2.36152,0.76583,0.55244,0.62443,0.45227,2.08221,2.57996,2.23026,0.001208,0.001208,0.001208
42,3822.13,1.98504,1.7767,2.31344,0.73178,0.60135,0.6506,0.47752,2.05177,2.42163,2.16112,0.0011882,0.0011882,0.0011882
43,3911.33,1.9901,1.76861,2.33948,0.72954,0.60144,0.63293,0.4539,2.06759,2.38646,2.2263,0.0011684,0.0011684,0.0011684
44,4001.13,2.00414,1.80117,2.34102,0.76451,0.58784,0.64609,0.45484,2.14222,2.42425,2.2156,0.0011486,0.0011486,0.0011486
45,4090.87,1.99423,1.74468,2.33086,0.75184,0.59364,0.62264,0.44734,2.08767,2.49312,2.21895,0.0011288,0.0011288,0.0011288
46,4180.9,2.00092,1.74721,2.35163,0.68252,0.57432,0.61608,0.44021,2.14231,2.56996,2.25101,0.001109,0.001109,0.001109
47,4270.99,1.9727,1.74639,2.34099,0.7335,0.5473,0.63046,0.4554,2.09537,2.4156,2.1692,0.0010892,0.0010892,0.0010892
48,4360.58,1.96916,1.72694,2.30034,0.75883,0.57432,0.64684,0.46936,2.07666,2.34837,2.19288,0.0010694,0.0010694,0.0010694
49,4449.68,1.93475,1.67371,2.28923,0.71753,0.62162,0.63924,0.46323,2.08601,2.3748,2.21513,0.0010496,0.0010496,0.0010496
50,4539.29,1.92834,1.68887,2.28802,0.84959,0.56757,0.6712,0.48405,2.07528,2.36486,2.22981,0.0010298,0.0010298,0.0010298
51,4629.33,1.9202,1.67276,2.29464,0.74295,0.59459,0.63698,0.47152,2.02753,2.39117,2.15976,0.00101,0.00101,0.00101
52,4720.48,1.90831,1.67791,2.28188,0.79008,0.53405,0.6161,0.44781,2.09219,2.45192,2.24219,0.0009902,0.0009902,0.0009902
53,4810.14,1.92399,1.69863,2.27996,0.75888,0.6167,0.64801,0.46584,2.06293,2.37366,2.20149,0.0009704,0.0009704,0.0009704
54,4899.56,1.8945,1.66441,2.28405,0.71422,0.55726,0.62596,0.43023,2.05681,2.46315,2.14192,0.0009506,0.0009506,0.0009506
55,4989.01,1.92089,1.67843,2.29158,0.67976,0.64189,0.6379,0.48571,2.01432,2.2381,2.16238,0.0009308,0.0009308,0.0009308
56,5080.34,1.87881,1.61695,2.26777,0.76096,0.51623,0.64226,0.46696,2.00558,2.2553,2.15647,0.000911,0.000911,0.000911
57,5171.25,1.87765,1.60717,2.27519,0.71509,0.64189,0.66281,0.49118,1.90519,2.23278,2.07454,0.0008912,0.0008912,0.0008912
58,5261.27,1.86997,1.59126,2.25558,0.76311,0.63124,0.67932,0.49428,1.95464,2.26669,2.1333,0.0008714,0.0008714,0.0008714
59,5351.52,1.87876,1.60626,2.27492,0.72743,0.65541,0.68147,0.51214,1.89737,2.22848,2.05614,0.0008516,0.0008516,0.0008516
60,5440.96,1.88575,1.62799,2.28085,0.78842,0.6043,0.67196,0.48405,2.02111,2.37367,2.16014,0.0008318,0.0008318,0.0008318
61,5530.85,1.85364,1.61526,2.25646,0.75809,0.63523,0.69491,0.51131,1.978,2.17991,2.16053,0.000812,0.000812,0.000812
62,5620.82,1.84031,1.56372,2.25173,0.72587,0.67568,0.68663,0.52494,1.9201,2.25718,2.1191,0.0007922,0.0007922,0.0007922
63,5710.92,1.84808,1.60479,2.25088,0.68827,0.65541,0.65719,0.49878,1.96905,2.34191,2.1431,0.0007724,0.0007724,0.0007724
64,5800.37,1.86146,1.60928,2.27393,0.69697,0.63514,0.66282,0.47949,1.97917,2.33077,2.10895,0.0007526,0.0007526,0.0007526
65,5889.47,1.8255,1.53679,2.24472,0.75233,0.55417,0.6573,0.50216,1.93624,2.23797,2.08921,0.0007328,0.0007328,0.0007328
66,5978.87,1.82552,1.57922,2.24084,0.76099,0.63514,0.67521,0.5048,1.92521,2.28319,2.16885,0.000713,0.000713,0.000713
67,6067.91,1.80642,1.57106,2.24453,0.67045,0.64865,0.67169,0.49226,1.89065,2.20643,2.07772,0.0006932,0.0006932,0.0006932
68,6157.43,1.79451,1.53657,2.22673,0.69637,0.67568,0.66779,0.47542,2.00485,2.23063,2.1629,0.0006734,0.0006734,0.0006734
69,6246.9,1.80907,1.56835,2.23215,0.71634,0.57432,0.65359,0.49245,1.90841,2.26686,2.07486,0.0006536,0.0006536,0.0006536
70,6336.22,1.80412,1.52802,2.2306,0.71393,0.60811,0.64904,0.48458,1.97691,2.35129,2.18826,0.0006338,0.0006338,0.0006338
71,6426.01,1.77523,1.47435,2.20594,0.79802,0.58108,0.66739,0.48465,1.90195,2.32055,2.16099,0.000614,0.000614,0.000614
72,6516.41,1.78002,1.49826,2.21277,0.79848,0.62838,0.67275,0.49564,1.96879,2.30754,2.14209,0.0005942,0.0005942,0.0005942
73,6607.25,1.79091,1.47824,2.21725,0.6805,0.62838,0.65325,0.47489,1.93271,2.36095,2.13527,0.0005744,0.0005744,0.0005744
74,6698.46,1.75833,1.48649,2.20309,0.78572,0.61939,0.6784,0.50122,1.95448,2.25547,2.14097,0.0005546,0.0005546,0.0005546
75,6788.82,1.76904,1.50439,2.21219,0.71537,0.58784,0.64249,0.47683,1.97693,2.39097,2.15949,0.0005348,0.0005348,0.0005348
76,6878.44,1.73997,1.44218,2.18946,0.70632,0.54054,0.62817,0.46247,1.95226,2.45553,2.09997,0.000515,0.000515,0.000515
77,6968.25,1.75189,1.44103,2.20022,0.7392,0.63201,0.65385,0.49428,1.90663,2.28138,2.14388,0.0004952,0.0004952,0.0004952
78,7058.46,1.71984,1.42231,2.1833,0.80662,0.52027,0.64654,0.4947,1.93642,2.27167,2.11772,0.0004754,0.0004754,0.0004754
79,7147.91,1.73737,1.41492,2.18942,0.70515,0.63022,0.66267,0.50241,1.83529,2.30317,2.11122,0.0004556,0.0004556,0.0004556
80,7238.02,1.71968,1.4088,2.17978,0.68246,0.60135,0.6367,0.47997,1.86288,2.35105,2.11624,0.0004358,0.0004358,0.0004358
81,7328.18,1.72468,1.39385,2.17865,0.6758,0.59459,0.6336,0.46935,1.88597,2.28122,2.10465,0.000416,0.000416,0.000416
82,7418.76,1.7089,1.39647,2.16938,0.7423,0.59459,0.67516,0.49725,1.91075,2.23673,2.12338,0.0003962,0.0003962,0.0003962
83,7508.78,1.68114,1.38949,2.16363,0.74824,0.62252,0.67048,0.48295,1.92353,2.20954,2.14146,0.0003764,0.0003764,0.0003764
84,7598.26,1.70108,1.40579,2.18513,0.7394,0.60135,0.66856,0.48402,1.87828,2.29668,2.15577,0.0003566,0.0003566,0.0003566
85,7687.51,1.68022,1.35139,2.16326,0.71338,0.55497,0.64365,0.48478,1.87692,2.3239,2.08251,0.0003368,0.0003368,0.0003368
86,7778.56,1.67668,1.37154,2.15822,0.70087,0.62162,0.65721,0.49108,1.95709,2.22114,2.11654,0.000317,0.000317,0.000317
87,7871.07,1.6636,1.38137,2.16031,0.71285,0.6374,0.68581,0.50714,1.90275,2.17445,2.14041,0.0002972,0.0002972,0.0002972
88,7962.97,1.66376,1.36153,2.15561,0.74878,0.60419,0.66638,0.48717,1.93437,2.22169,2.15281,0.0002774,0.0002774,0.0002774
89,8053.85,1.66593,1.34491,2.15894,0.78001,0.59895,0.67571,0.48273,1.95048,2.2517,2.17757,0.0002576,0.0002576,0.0002576
90,8145.02,1.63789,1.32888,2.13703,0.66842,0.65381,0.6778,0.49183,1.93168,2.2237,2.16457,0.0002378,0.0002378,0.0002378
91,8234.86,1.39109,1.28349,2.18087,0.71328,0.64189,0.68062,0.48173,1.91796,2.1629,2.18279,0.000218,0.000218,0.000218
92,8323.22,1.37575,1.21855,2.17613,0.70816,0.63943,0.65817,0.48012,1.95738,2.22902,2.13278,0.0001982,0.0001982,0.0001982
