epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.913,4.40984,3.8045,4.01822,0.01289,0.01386,0.00139,0.00039,4.57395,3.58767,3.49109,0.0701288,0.00331903,0.00331903
2,255.959,3.29856,2.80337,3.20969,0.07479,0.13514,0.03372,0.00567,3.39829,5.53497,2.63494,0.0400629,0.0065865,0.0065865
3,380.132,2.59263,2.4207,2.71763,0.32426,0.12838,0.10635,0.02381,2.84372,3.017,2.1402,0.00993104,0.00978798,0.00978798
4,503.524,2.1285,2.01217,2.2656,0.30237,0.37162,0.21963,0.05658,2.6591,2.56294,1.94378,0.009703,0.009703,0.009703
5,627.399,1.80378,1.66857,1.95359,0.45841,0.41216,0.34178,0.10313,2.46674,2.20617,1.81305,0.009604,0.009604,0.009604
6,750.479,1.60615,1.50339,1.78388,0.47767,0.49324,0.37864,0.13771,2.40664,2.23958,1.69332,0.009505,0.009505,0.009505
7,874.421,1.47496,1.36712,1.66266,0.42753,0.54054,0.44429,0.20432,2.22784,1.95703,1.68606,0.009406,0.009406,0.009406
8,998.689,1.39565,1.30272,1.59546,0.56276,0.45946,0.44837,0.20798,2.12172,1.99725,1.67712,0.009307,0.009307,0.009307
9,1121.88,1.32576,1.23686,1.54812,0.70972,0.47297,0.51461,0.26058,1.86618,2.00141,1.61562,0.009208,0.009208,0.009208
10,1245.32,1.28164,1.20673,1.50984,0.54088,0.53378,0.49845,0.31712,1.70361,1.87736,1.54703,0.009109,0.009109,0.009109
11,1369.06,1.23007,1.1737,1.47393,0.55869,0.51351,0.49819,0.27332,1.79739,1.89051,1.46259,0.00901,0.00901,0.00901
12,1492.14,1.21264,1.15732,1.46251,0.60145,0.56757,0.55521,0.33896,1.568,1.74999,1.39809,0.008911,0.008911,0.008911
13,1616.32,1.17096,1.12257,1.43042,0.68789,0.5473,0.60717,0.36148,1.53515,1.6756,1.4214,0.008812,0.008812,0.008812
14,1739.98,1.15828,1.08689,1.40877,0.52039,0.59459,0.51991,0.31446,1.45053,1.73574,1.38396,0.008713,0.008713,0.008713
15,1863.56,1.12283,1.06188,1.3957,0.64322,0.61486,0.55922,0.33388,1.38969,1.6989,1.37277,0.008614,0.008614,0.008614
16,1987.46,1.11573,1.04954,1.37862,0.66324,0.62545,0.55185,0.31935,1.52958,1.6592,1.34975,0.008515,0.008515,0.008515
17,2110.76,1.10095,1.01985,1.37243,0.65721,0.64865,0.58212,0.37742,1.35081,1.53825,1.32414,0.008416,0.008416,0.008416
18,2234.51,1.07618,1.00442,1.35567,0.7162,0.64189,0.64281,0.41824,1.35707,1.46958,1.29018,0.008317,0.008317,0.008317
19,2358.84,1.0784,1.01097,1.36207,0.69759,0.5473,0.62039,0.40141,1.34328,1.47514,1.24951,0.008218,0.008218,0.008218
20,2482.47,1.05858,0.9773,1.34138,0.64743,0.59557,0.56012,0.3739,1.32817,1.62673,1.31989,0.008119,0.008119,0.008119
21,2606.18,1.05624,0.97704,1.33731,0.73483,0.59459,0.62568,0.40327,1.21867,1.45293,1.24792,0.00802,0.00802,0.00802
22,2729.59,1.04093,0.94175,1.32767,0.7184,0.60332,0.61202,0.38605,1.33726,1.49694,1.30271,0.007921,0.007921,0.007921
23,2852.65,1.01554,0.93078,1.30738,0.63248,0.57432,0.54342,0.33719,1.35319,1.54285,1.24635,0.007822,0.007822,0.007822
24,2976.02,1.01152,0.92454,1.30645,0.75474,0.58219,0.67301,0.42356,1.2403,1.39775,1.23166,0.007723,0.007723,0.007723
25,3099.49,1.01107,0.91714,1.30016,0.7199,0.64255,0.65741,0.43662,1.23783,1.41426,1.24054,0.007624,0.007624,0.007624
26,3222.52,1.00712,0.91917,1.29501,0.73331,0.68243,0.68312,0.45618,1.22722,1.35225,1.2206,0.007525,0.007525,0.007525
27,3345.74,0.98667,0.90933,1.28317,0.70906,0.66216,0.64365,0.41738,1.20413,1.42197,1.202,0.007426,0.007426,0.007426
28,3468.39,0.99523,0.91325,1.28618,0.70905,0.64865,0.67645,0.46219,1.1824,1.28156,1.17601,0.007327,0.007327,0.007327
29,3591.39,0.97482,0.88698,1.28197,0.77585,0.65486,0.67982,0.4479,1.18127,1.36427,1.19908,0.007228,0.007228,0.007228
30,3714.03,0.97744,0.87604,1.27009,0.68834,0.67568,0.64895,0.44846,1.15639,1.36297,1.17486,0.007129,0.007129,0.007129
31,3837.42,0.96955,0.87604,1.26787,0.67163,0.68919,0.62889,0.43087,1.17455,1.2892,1.18517,0.00703,0.00703,0.00703
32,3960.46,0.96016,0.8627,1.26465,0.79742,0.65541,0.65237,0.43821,1.15141,1.35202,1.20361,0.006931,0.006931,0.006931
33,4083.03,0.95972,0.86123,1.26734,0.7478,0.62838,0.63518,0.41689,1.17537,1.37421,1.2175,0.006832,0.006832,0.006832
34,4205.87,0.95046,0.84582,1.25509,0.77053,0.63529,0.66611,0.40689,1.24814,1.36972,1.18155,0.006733,0.006733,0.006733
35,4329.08,0.93374,0.83661,1.24389,0.75292,0.64865,0.65013,0.43903,1.1306,1.38213,1.13581,0.006634,0.006634,0.006634
36,4452.13,0.93875,0.84274,1.24812,0.69115,0.66216,0.6588,0.44957,1.14338,1.29105,1.21424,0.006535,0.006535,0.006535
37,4575.34,0.92673,0.82023,1.23843,0.7801,0.60135,0.63074,0.44931,1.11387,1.26936,1.16174,0.006436,0.006436,0.006436
