epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.4355,3.61842,3.62959,3.53627,0.0395,0.10811,0.01047,0.00245,3.38354,10.7677,2.86399,0.000663805,0.000663805,0.000663805
2,153.113,2.54589,2.66458,2.60962,0.10998,0.28378,0.06818,0.01869,2.86142,3.73929,2.2156,0.0013173,0.0013173,0.0013173
3,226.478,2.20089,2.25382,2.29659,0.16505,0.2973,0.09324,0.02484,2.62035,3.48784,2.09689,0.0019576,0.0019576,0.0019576
4,298.298,1.98171,2.04815,2.08282,0.35565,0.35135,0.25879,0.07637,2.47701,2.46029,2.16618,0.0019406,0.0019406,0.0019406
5,371.575,1.82427,1.8485,1.9414,0.24727,0.48649,0.19962,0.06562,2.23185,2.62253,1.89702,0.0019208,0.0019208,0.0019208
6,443.546,1.6901,1.71232,1.8291,0.44084,0.44595,0.41974,0.15436,2.13186,2.39205,1.88394,0.001901,0.001901,0.001901
7,514.339,1.58039,1.57437,1.74128,0.39436,0.44595,0.33637,0.15042,1.97643,2.19153,1.83999,0.0018812,0.0018812,0.0018812
8,586.473,1.51256,1.49723,1.67629,0.40769,0.49324,0.39157,0.17722,2.0229,2.11838,1.79032,0.0018614,0.0018614,0.0018614
9,658.037,1.46781,1.43769,1.64868,0.55091,0.47297,0.46249,0.19918,1.89938,2.22914,1.67609,0.0018416,0.0018416,0.0018416
10,729.199,1.42948,1.40513,1.61227,0.44138,0.49651,0.38191,0.20002,1.76279,2.02739,1.68019,0.0018218,0.0018218,0.0018218
11,800.095,1.37414,1.36223,1.56463,0.46894,0.52703,0.41623,0.2099,1.80174,1.9999,1.62059,0.001802,0.001802,0.001802
12,872.402,1.34373,1.31478,1.54431,0.60661,0.51351,0.47493,0.26565,1.66455,1.86903,1.50932,0.0017822,0.0017822,0.0017822
13,944.009,1.3119,1.28091,1.52261,0.6778,0.5,0.56086,0.31471,1.64313,1.90264,1.53932,0.0017624,0.0017624,0.0017624
14,1017.68,1.29359,1.24169,1.49232,0.59135,0.52799,0.52231,0.28569,1.58908,1.79445,1.47602,0.0017426,0.0017426,0.0017426
15,1091.17,1.25034,1.20881,1.46844,0.58741,0.52027,0.52063,0.30216,1.56304,1.80672,1.48661,0.0017228,0.0017228,0.0017228
16,1163,1.24822,1.19943,1.46579,0.65401,0.59459,0.56995,0.32917,1.56477,1.71048,1.45332,0.001703,0.001703,0.001703
17,1236.07,1.22447,1.16531,1.4508,0.55276,0.55405,0.48967,0.25966,1.68879,1.89287,1.55387,0.0016832,0.0016832,0.0016832
18,1307.52,1.20643,1.15119,1.43054,0.6791,0.57432,0.5648,0.34451,1.49247,1.71364,1.40279,0.0016634,0.0016634,0.0016634
19,1380.41,1.20779,1.16831,1.43872,0.69877,0.64189,0.63511,0.3937,1.44027,1.60565,1.3643,0.0016436,0.0016436,0.0016436
20,1453.73,1.17711,1.11231,1.3962,0.72245,0.58108,0.6003,0.39232,1.45946,1.64509,1.4062,0.0016238,0.0016238,0.0016238
21,1526.17,1.16948,1.11056,1.39864,0.73356,0.56081,0.56811,0.36916,1.45741,1.71288,1.3934,0.001604,0.001604,0.001604
22,1599.99,1.14627,1.07262,1.38725,0.74684,0.55405,0.57785,0.37305,1.39651,1.63433,1.34628,0.0015842,0.0015842,0.0015842
23,1673.4,1.13976,1.06087,1.37542,0.64276,0.60135,0.58766,0.38172,1.45584,1.58261,1.32774,0.0015644,0.0015644,0.0015644
24,1744.84,1.13502,1.07146,1.37494,0.66187,0.5473,0.55761,0.35053,1.36901,1.61238,1.31647,0.0015446,0.0015446,0.0015446
25,1817.44,1.11953,1.03895,1.35668,0.62467,0.60135,0.57905,0.36109,1.39679,1.53999,1.37549,0.0015248,0.0015248,0.0015248
26,1889.47,1.11619,1.04311,1.35662,0.75837,0.59459,0.63185,0.41029,1.3543,1.52506,1.29845,0.001505,0.001505,0.001505
27,1961.82,1.1054,1.03858,1.34828,0.66709,0.56865,0.58933,0.38584,1.31128,1.59336,1.2835,0.0014852,0.0014852,0.0014852
28,2033.23,1.10936,1.03725,1.34666,0.68074,0.63393,0.62377,0.39274,1.376,1.51654,1.2696,0.0014654,0.0014654,0.0014654
29,2105.84,1.07736,1.00754,1.3346,0.67929,0.60811,0.60819,0.38721,1.35104,1.60214,1.31186,0.0014456,0.0014456,0.0014456
30,2178.77,1.08156,0.98162,1.32689,0.74498,0.60811,0.62193,0.41856,1.29311,1.54888,1.29795,0.0014258,0.0014258,0.0014258
31,2250.76,1.08037,0.98701,1.3231,0.77331,0.56757,0.62179,0.42235,1.2839,1.52322,1.30045,0.001406,0.001406,0.001406
32,2324.08,1.06487,0.98556,1.31714,0.70633,0.60811,0.59452,0.39302,1.30639,1.54442,1.25523,0.0013862,0.0013862,0.0013862
33,2396.29,1.05793,0.98069,1.31634,0.61695,0.62031,0.58548,0.40179,1.2672,1.59413,1.26542,0.0013664,0.0013664,0.0013664
34,2469.75,1.0507,0.95829,1.30915,0.712,0.65149,0.6369,0.42752,1.28677,1.45957,1.3102,0.0013466,0.0013466,0.0013466
35,2542.5,1.03634,0.94806,1.29176,0.71266,0.58655,0.57919,0.37587,1.26639,1.51291,1.23351,0.0013268,0.0013268,0.0013268
36,2614.96,1.03789,0.94201,1.29879,0.65727,0.64865,0.61452,0.41873,1.24522,1.56903,1.2546,0.001307,0.001307,0.001307
37,2687.45,1.01501,0.92041,1.28017,0.66349,0.63948,0.62746,0.42273,1.20208,1.45765,1.23968,0.0012872,0.0012872,0.0012872
38,2759.28,1.0148,0.93846,1.27916,0.72141,0.61486,0.63126,0.42535,1.24424,1.41869,1.26657,0.0012674,0.0012674,0.0012674
39,2831.4,1.01286,0.9228,1.28763,0.71312,0.59459,0.64253,0.4277,1.28104,1.48978,1.28132,0.0012476,0.0012476,0.0012476
40,2904.72,1.03769,0.93001,1.2964,0.71508,0.59459,0.62043,0.42189,1.19087,1.36931,1.21379,0.0012278,0.0012278,0.0012278
41,2976.7,1.00341,0.9173,1.28523,0.7217,0.62838,0.62699,0.42703,1.24295,1.46454,1.24214,0.001208,0.001208,0.001208
42,3049.24,0.99602,0.903,1.26198,0.69079,0.63514,0.60937,0.43373,1.20057,1.43279,1.2091,0.0011882,0.0011882,0.0011882
43,3121.62,1.00227,0.90062,1.27794,0.76507,0.60811,0.65609,0.45757,1.16309,1.31484,1.23225,0.0011684,0.0011684,0.0011684
44,3194.7,1.01429,0.91215,1.28517,0.75234,0.61576,0.64083,0.44217,1.2003,1.45884,1.24564,0.0011486,0.0011486,0.0011486
45,3268.71,1.00398,0.88724,1.26999,0.78874,0.60811,0.66696,0.45338,1.19399,1.41482,1.23592,0.0011288,0.0011288,0.0011288
46,3349.01,0.99758,0.89219,1.27706,0.71885,0.65648,0.67026,0.45238,1.19802,1.36021,1.22318,0.001109,0.001109,0.001109
47,3428.99,0.99155,0.8893,1.27661,0.75828,0.65541,0.65841,0.44164,1.15992,1.33933,1.1915,0.0010892,0.0010892,0.0010892
48,3507.48,0.98741,0.87886,1.26172,0.77626,0.66216,0.64403,0.45066,1.25789,1.35927,1.23801,0.0010694,0.0010694,0.0010694
49,3583.69,0.9785,0.85843,1.25567,0.72695,0.61486,0.60785,0.4272,1.15392,1.37015,1.17856,0.0010496,0.0010496,0.0010496
50,3657.29,0.9639,0.84726,1.24466,0.67062,0.63283,0.62595,0.46116,1.14733,1.34602,1.18692,0.0010298,0.0010298,0.0010298
51,3732.91,0.95795,0.8499,1.24922,0.76227,0.62162,0.65087,0.43688,1.17507,1.36422,1.19514,0.00101,0.00101,0.00101
52,3808.65,0.95476,0.85339,1.24085,0.72561,0.64865,0.6466,0.45665,1.14815,1.36244,1.18967,0.0009902,0.0009902,0.0009902
53,3884.23,0.95654,0.85051,1.23949,0.79388,0.60811,0.65948,0.46466,1.17223,1.30324,1.19476,0.0009704,0.0009704,0.0009704
54,3961,0.97059,0.84999,1.24985,0.7801,0.59459,0.61882,0.43126,1.15761,1.34312,1.21869,0.0009506,0.0009506,0.0009506
55,4036,0.95925,0.84556,1.24342,0.73195,0.64189,0.65273,0.47859,1.17373,1.34265,1.18515,0.0009308,0.0009308,0.0009308
56,4111.74,0.94787,0.83076,1.23538,0.79897,0.64865,0.67767,0.46801,1.13262,1.22833,1.19113,0.000911,0.000911,0.000911
57,4188.82,0.94935,0.83562,1.23846,0.65398,0.70236,0.6595,0.4695,1.14071,1.27693,1.1759,0.0008912,0.0008912,0.0008912
58,4265.26,0.93375,0.80903,1.22585,0.75422,0.65541,0.6601,0.47313,1.1261,1.26135,1.16604,0.0008714,0.0008714,0.0008714
59,4341.83,0.93544,0.81208,1.23267,0.76443,0.63585,0.68014,0.4838,1.14719,1.29285,1.1494,0.0008516,0.0008516,0.0008516
60,4416.88,0.94322,0.8264,1.23802,0.76166,0.64778,0.67805,0.49727,1.12914,1.23645,1.1778,0.0008318,0.0008318,0.0008318
61,4492.57,0.92261,0.8207,1.2205,0.77123,0.64189,0.6547,0.46032,1.1606,1.31282,1.25716,0.000812,0.000812,0.000812
62,4568.23,0.92409,0.80625,1.22354,0.75633,0.68243,0.67748,0.4886,1.08178,1.28472,1.17445,0.0007922,0.0007922,0.0007922
63,4644.62,0.92272,0.81397,1.22037,0.72244,0.65541,0.6768,0.50253,1.08387,1.24856,1.16577,0.0007724,0.0007724,0.0007724
64,4720.81,0.93066,0.81411,1.22659,0.71559,0.67568,0.6781,0.48803,1.11562,1.22774,1.18048,0.0007526,0.0007526,0.0007526
65,4795.63,0.91062,0.79515,1.21872,0.70047,0.68243,0.6632,0.4934,1.08125,1.18991,1.13354,0.0007328,0.0007328,0.0007328
