epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.7681,4.31305,3.78644,3.98615,0.00743,0.01351,0.00093,0.00033,4.58404,3.62109,3.6817,0.0701288,0.00331903,0.00331903
2,158.217,3.24012,2.90039,3.16852,0.08806,0.2027,0.04491,0.00828,3.31853,3.57811,2.48497,0.0400629,0.0065865,0.0065865
3,233.253,2.58115,2.46193,2.66795,0.16639,0.18478,0.08599,0.01844,2.98424,5.28639,2.18872,0.00993104,0.00978798,0.00978798
4,308.009,2.19057,2.13773,2.30358,0.20473,0.25676,0.15655,0.04236,2.7158,2.75633,2.05484,0.009703,0.009703,0.009703
5,382.092,1.89162,1.85065,2.0417,0.44262,0.25,0.29179,0.08804,2.55421,2.51152,2.0279,0.009604,0.009604,0.009604
6,456.789,1.71325,1.6915,1.89022,0.3831,0.49513,0.3228,0.0993,2.31554,2.24792,1.80469,0.009505,0.009505,0.009505
7,531.6,1.59061,1.53115,1.78494,0.48697,0.39765,0.41712,0.18712,2.1433,2.13686,1.83324,0.009406,0.009406,0.009406
8,606.444,1.4909,1.43091,1.6949,0.54972,0.46622,0.4092,0.17459,2.02522,2.09206,1.82524,0.009307,0.009307,0.009307
9,681.23,1.41223,1.34699,1.63181,0.6327,0.49324,0.50045,0.25121,1.83719,2.09076,1.68844,0.009208,0.009208,0.009208
10,756.087,1.36393,1.30064,1.593,0.66774,0.44595,0.48334,0.26592,1.87471,2.1205,1.69744,0.009109,0.009109,0.009109
11,830.187,1.31346,1.25806,1.55605,0.59891,0.47421,0.47132,0.25615,1.7305,1.9658,1.595,0.00901,0.00901,0.00901
12,904.936,1.28042,1.24278,1.5319,0.70573,0.51351,0.56334,0.29886,1.63439,1.92506,1.52553,0.008911,0.008911,0.008911
13,979.88,1.24481,1.1864,1.50767,0.59878,0.54054,0.53534,0.30703,1.74618,2.00471,1.61424,0.008812,0.008812,0.008812
