epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.112,3.46403,3.187,3.39711,0.02438,0.11486,0.00863,0.00209,3.40136,31.2166,3.30737,0.000663805,0.000663805,0.000663805
2,364.795,2.55847,2.46207,2.60071,0.10617,0.34459,0.0705,0.01494,2.8189,4.84463,2.15766,0.0013173,0.0013173,0.0013173
3,540.702,2.25144,2.20685,2.34175,0.10446,0.35135,0.08209,0.01753,2.67689,4.88083,2.14636,0.0019576,0.0019576,0.0019576
4,716.265,1.98961,1.99138,2.1186,0.20286,0.4527,0.17014,0.04104,2.57772,2.77419,1.97562,0.0019406,0.0019406,0.0019406
5,891.855,1.80263,1.78581,1.9576,0.40124,0.36486,0.2669,0.08502,2.32754,2.4869,1.90319,0.0019208,0.0019208,0.0019208
6,1067.54,1.67628,1.64449,1.849,0.28145,0.53378,0.24013,0.08297,2.1733,2.52426,1.82329,0.001901,0.001901,0.001901
7,1242.96,1.58236,1.52079,1.74828,0.42637,0.46622,0.3476,0.13969,2.06316,2.13426,1.79519,0.0018812,0.0018812,0.0018812
8,1418.53,1.51364,1.44164,1.68675,0.4283,0.5,0.36345,0.15232,1.97041,2.07478,1.69749,0.0018614,0.0018614,0.0018614
9,1594.08,1.4545,1.40712,1.64548,0.46499,0.46622,0.42504,0.19759,1.83469,2.05649,1.67419,0.0018416,0.0018416,0.0018416
10,1769.58,1.39277,1.32514,1.59128,0.58237,0.54649,0.46872,0.18228,1.97203,2.04295,1.6392,0.0018218,0.0018218,0.0018218
11,1945.08,1.3797,1.30215,1.57816,0.43355,0.54819,0.42016,0.20457,1.78335,2.01794,1.59289,0.001802,0.001802,0.001802
12,2120.56,1.32889,1.24405,1.5368,0.55646,0.5473,0.52039,0.2804,1.62313,1.8405,1.54064,0.0017822,0.0017822,0.0017822
13,2296.21,1.29472,1.22372,1.51267,0.49613,0.56081,0.44927,0.21763,1.59022,1.87337,1.50881,0.0017624,0.0017624,0.0017624
14,2471.38,1.27058,1.17911,1.48914,0.55385,0.5473,0.49134,0.26939,1.67259,1.90853,1.54854,0.0017426,0.0017426,0.0017426
15,2646.82,1.25209,1.16582,1.46369,0.64177,0.5473,0.50409,0.27366,1.55642,1.89079,1.49353,0.0017228,0.0017228,0.0017228
16,2822.2,1.22562,1.13353,1.45144,0.6687,0.55918,0.55631,0.30522,1.5957,1.72591,1.47206,0.001703,0.001703,0.001703
17,2997.82,1.20589,1.11434,1.43112,0.67467,0.60135,0.56188,0.30391,1.60337,1.73632,1.44712,0.0016832,0.0016832,0.0016832
18,3173.29,1.18499,1.10121,1.41741,0.75173,0.56757,0.63681,0.3547,1.48492,1.68833,1.39861,0.0016634,0.0016634,0.0016634
19,3348.88,1.1899,1.0952,1.42237,0.81004,0.48983,0.61377,0.37246,1.50712,1.61329,1.43379,0.0016436,0.0016436,0.0016436
20,3524.49,1.14924,1.07501,1.3943,0.69477,0.50676,0.5251,0.32232,1.53098,1.74758,1.41735,0.0016238,0.0016238,0.0016238
21,3699.68,1.15393,1.06866,1.39478,0.63603,0.47973,0.53319,0.3166,1.43224,1.67046,1.37956,0.001604,0.001604,0.001604
22,3875.27,1.14733,1.05655,1.38315,0.63337,0.61865,0.59464,0.34546,1.42855,1.72384,1.37106,0.0015842,0.0015842,0.0015842
23,4050.71,1.12183,1.03156,1.36181,0.71354,0.58784,0.62442,0.37402,1.39126,1.55875,1.32962,0.0015644,0.0015644,0.0015644
24,4226.34,1.11066,1.01219,1.36199,0.67318,0.57063,0.6056,0.39182,1.33557,1.54087,1.33807,0.0015446,0.0015446,0.0015446
25,4401.86,1.10689,1.00557,1.3632,0.66252,0.60135,0.57507,0.34237,1.3617,1.56978,1.3377,0.0015248,0.0015248,0.0015248
26,4577.25,1.09081,0.98876,1.34523,0.77705,0.59459,0.63927,0.40855,1.29301,1.52992,1.33446,0.001505,0.001505,0.001505
27,4752.95,1.0836,0.9802,1.33518,0.78017,0.58784,0.65043,0.42309,1.31868,1.444,1.31972,0.0014852,0.0014852,0.0014852
28,4928.6,1.08094,0.97419,1.32859,0.70468,0.60811,0.63534,0.41767,1.2866,1.45127,1.28879,0.0014654,0.0014654,0.0014654
29,5103.96,1.05658,0.95185,1.32053,0.76281,0.62838,0.64279,0.40572,1.28584,1.4543,1.26947,0.0014456,0.0014456,0.0014456
30,5279.31,1.03884,0.94113,1.30953,0.73857,0.59175,0.64144,0.44038,1.2951,1.45157,1.28164,0.0014258,0.0014258,0.0014258
31,5454.93,1.04661,0.95329,1.31586,0.77604,0.56191,0.6472,0.43336,1.16325,1.42366,1.24337,0.001406,0.001406,0.001406
32,5630.28,1.03881,0.93899,1.30689,0.78507,0.64189,0.67735,0.46331,1.24848,1.36212,1.23134,0.0013862,0.0013862,0.0013862
33,5805.85,1.03684,0.91684,1.30445,0.7632,0.56081,0.64012,0.43504,1.2523,1.37615,1.25212,0.0013664,0.0013664,0.0013664
34,5981.21,1.01943,0.92064,1.28827,0.71308,0.60811,0.65625,0.42505,1.21921,1.37764,1.21413,0.0013466,0.0013466,0.0013466
35,6156.7,1.00872,0.91026,1.28254,0.69097,0.66892,0.67241,0.42717,1.29091,1.37037,1.26461,0.0013268,0.0013268,0.0013268
36,6331.89,1.01175,0.89681,1.28246,0.71134,0.64189,0.64919,0.44342,1.20661,1.37279,1.24246,0.001307,0.001307,0.001307
37,6507.18,0.99362,0.88851,1.27781,0.76469,0.60135,0.67608,0.45189,1.22216,1.34783,1.23276,0.0012872,0.0012872,0.0012872
38,6682.53,0.99398,0.88442,1.2807,0.76643,0.54054,0.64785,0.42548,1.21752,1.38599,1.23043,0.0012674,0.0012674,0.0012674
39,6857.97,0.99468,0.87606,1.27044,0.78841,0.64865,0.6442,0.43789,1.19274,1.3794,1.23768,0.0012476,0.0012476,0.0012476
40,7033.26,0.96879,0.86198,1.24959,0.71287,0.60392,0.67548,0.44974,1.23392,1.29545,1.22697,0.0012278,0.0012278,0.0012278
41,7208.62,0.97071,0.85431,1.25246,0.80591,0.59459,0.65867,0.44557,1.12403,1.29086,1.20021,0.001208,0.001208,0.001208
42,7384,0.9686,0.84745,1.24712,0.75449,0.62162,0.68542,0.46012,1.15387,1.33795,1.20741,0.0011882,0.0011882,0.0011882
43,7559.41,0.96641,0.848,1.25421,0.75919,0.58108,0.65784,0.46309,1.13216,1.31965,1.18931,0.0011684,0.0011684,0.0011684
44,7734.87,0.96491,0.84735,1.25421,0.72063,0.64489,0.68253,0.46207,1.13528,1.24999,1.17604,0.0011486,0.0011486,0.0011486
