epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.522,3.70291,3.65267,3.57114,0.01931,0.10811,0.01106,0.00239,3.34444,8.47104,3.08173,0.000663805,0.000663805,0.000663805
2,271.137,2.71826,2.72188,2.78359,0.10948,0.21622,0.08649,0.01988,2.84844,2.91642,2.37158,0.0013173,0.0013173,0.0013173
3,391.55,2.30911,2.33196,2.41905,0.10103,0.30405,0.07144,0.01606,2.66005,3.53495,2.1276,0.0019576,0.0019576,0.0019576
4,505.356,2.00719,2.03163,2.14231,0.20641,0.32432,0.13558,0.04483,2.56992,2.83061,2.19211,0.0019406,0.0019406,0.0019406
5,625.746,1.82187,1.80786,1.95703,0.33036,0.41334,0.29089,0.10406,2.20791,2.43332,1.9446,0.0019208,0.0019208,0.0019208
6,741.013,1.68032,1.65081,1.83557,0.44021,0.28378,0.25571,0.10522,2.21592,2.61835,1.89077,0.001901,0.001901,0.001901
7,860.093,1.56706,1.52296,1.73264,0.4085,0.47973,0.3718,0.18417,2.00628,2.22862,1.79669,0.0018812,0.0018812,0.0018812
8,980.198,1.48954,1.4297,1.66717,0.55942,0.38514,0.42548,0.22352,1.87859,2.35445,1.69619,0.0018614,0.0018614,0.0018614
9,1099.48,1.43947,1.375,1.6267,0.56301,0.47297,0.46888,0.23465,1.77502,2.23381,1.63478,0.0018416,0.0018416,0.0018416
10,1218.54,1.39424,1.32567,1.57796,0.5551,0.54054,0.47965,0.26796,1.70245,2.10902,1.58015,0.0018218,0.0018218,0.0018218
11,1338.75,1.34577,1.30116,1.541,0.64637,0.49401,0.45834,0.223,1.77996,2.18278,1.59711,0.001802,0.001802,0.001802
12,1458.89,1.31835,1.28755,1.52598,0.66424,0.56757,0.55083,0.30992,1.59865,1.7674,1.516,0.0017822,0.0017822,0.0017822
13,1578.83,1.29498,1.23509,1.50462,0.63783,0.5473,0.53667,0.3189,1.52958,1.87972,1.53337,0.0017624,0.0017624,0.0017624
14,1685.01,1.26848,1.19925,1.47466,0.60016,0.57809,0.58648,0.32537,1.56813,1.6882,1.49789,0.0017426,0.0017426,0.0017426
15,1806.2,1.23249,1.16154,1.45389,0.66296,0.58784,0.58138,0.3256,1.61849,1.71383,1.51766,0.0017228,0.0017228,0.0017228
16,1913.26,1.24361,1.15955,1.45072,0.80059,0.54255,0.60006,0.3825,1.45444,1.7068,1.38549,0.001703,0.001703,0.001703
17,2017.44,1.19183,1.1304,1.42072,0.73499,0.59968,0.6193,0.39814,1.45268,1.6226,1.40441,0.0016832,0.0016832,0.0016832
18,2128.81,1.18804,1.11638,1.41568,0.73505,0.56757,0.59142,0.36324,1.46824,1.56646,1.40992,0.0016634,0.0016634,0.0016634
19,2248.18,1.18896,1.12221,1.42501,0.7572,0.59003,0.61794,0.41568,1.38104,1.60975,1.36961,0.0016436,0.0016436,0.0016436
