epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.052,4.51225,4.08815,4.14214,0.00068,0.15541,0.00127,0.00036,4.77754,3.67701,4.12005,0.0701288,0.00331903,0.00331903
2,206.92,3.43137,3.15869,3.3177,0.03999,0.28378,0.02346,0.00447,3.38944,6.4817,2.77373,0.0400629,0.0065865,0.0065865
3,302.818,2.7152,2.58317,2.80632,0.11741,0.13514,0.05449,0.00874,3.17513,5.15936,2.52622,0.00993104,0.00978798,0.00978798
4,396.318,2.31619,2.27621,2.42931,0.32251,0.2973,0.21154,0.0636,2.58654,3.2708,2.35404,0.009703,0.009703,0.009703
5,491.752,1.96252,1.85613,2.08798,0.26501,0.29054,0.16956,0.05334,2.52416,2.85415,2.18693,0.009604,0.009604,0.009604
6,587.867,1.73965,1.6393,1.88663,0.49199,0.42535,0.41528,0.17203,2.24444,2.41416,1.91736,0.009505,0.009505,0.009505
7,683.296,1.58861,1.49873,1.74689,0.62667,0.44595,0.47956,0.22593,2.11145,2.17164,1.78966,0.009406,0.009406,0.009406
8,778.786,1.51868,1.41629,1.67531,0.75956,0.41216,0.5167,0.24825,1.93746,2.05398,1.75749,0.009307,0.009307,0.009307
9,873.64,1.4426,1.36171,1.61857,0.57628,0.58784,0.49851,0.26551,1.71022,2.23523,1.64965,0.009208,0.009208,0.009208
10,968.254,1.38805,1.31678,1.56237,0.65453,0.51351,0.55798,0.26673,1.82002,1.81991,1.65898,0.009109,0.009109,0.009109
11,1062.09,1.34178,1.28495,1.53007,0.46649,0.41216,0.37947,0.19529,1.90117,2.37881,1.75335,0.00901,0.00901,0.00901
12,1156.35,1.30406,1.27126,1.50896,0.6204,0.51351,0.51036,0.29498,1.61996,1.99697,1.52264,0.008911,0.008911,0.008911
13,1252.6,1.26844,1.21763,1.4798,0.78639,0.52239,0.55947,0.35357,1.45643,1.73292,1.50259,0.008812,0.008812,0.008812
14,1347.03,1.25291,1.19264,1.45467,0.69648,0.58108,0.56085,0.32389,1.65159,1.79142,1.50005,0.008713,0.008713,0.008713
15,1441.14,1.2142,1.16403,1.43424,0.58935,0.53378,0.51014,0.29664,1.47754,1.75608,1.40323,0.008614,0.008614,0.008614
16,1534.48,1.206,1.15255,1.41451,0.71033,0.58784,0.57945,0.37042,1.49014,1.7257,1.42409,0.008515,0.008515,0.008515
17,1628.93,1.18154,1.12547,1.40558,0.75161,0.58784,0.59194,0.38244,1.47453,1.541,1.40093,0.008416,0.008416,0.008416
18,1722.34,1.16127,1.11188,1.38996,0.62837,0.64189,0.6165,0.37738,1.43776,1.58151,1.40475,0.008317,0.008317,0.008317
19,1817.07,1.17683,1.12559,1.40158,0.72219,0.58108,0.60759,0.39117,1.41319,1.58724,1.37574,0.008218,0.008218,0.008218
20,1911.33,1.14128,1.07977,1.365,0.7849,0.55405,0.62824,0.40796,1.34801,1.53016,1.3097,0.008119,0.008119,0.008119
21,2005.2,1.13988,1.07521,1.37223,0.73395,0.52194,0.61167,0.40972,1.38095,1.49842,1.35629,0.00802,0.00802,0.00802
22,2098.05,1.11985,1.04763,1.35619,0.76352,0.5473,0.54804,0.34693,1.38942,1.78946,1.33395,0.007921,0.007921,0.007921
23,2191.71,1.10822,1.03251,1.34135,0.68377,0.54054,0.58918,0.37556,1.32531,1.60172,1.29798,0.007822,0.007822,0.007822
24,2285.67,1.0969,1.02576,1.34372,0.70748,0.57196,0.61996,0.4216,1.31817,1.53688,1.30503,0.007723,0.007723,0.007723
25,2378.77,1.08815,1.0102,1.32284,0.77655,0.59459,0.60612,0.39072,1.3488,1.5033,1.29566,0.007624,0.007624,0.007624
26,2472.44,1.07778,1.01571,1.32001,0.7175,0.60064,0.64622,0.44149,1.29929,1.44467,1.29188,0.007525,0.007525,0.007525
27,2565.89,1.06792,1.00444,1.31337,0.75029,0.58108,0.6199,0.41772,1.28215,1.42984,1.24039,0.007426,0.007426,0.007426
28,2658.28,1.06873,1.01164,1.31531,0.75884,0.59532,0.6201,0.42348,1.31711,1.46863,1.30346,0.007327,0.007327,0.007327
29,2750.84,1.05119,0.97587,1.30543,0.72772,0.61486,0.61207,0.39907,1.33514,1.52564,1.2725,0.007228,0.007228,0.007228
30,2844.77,1.05109,0.95939,1.29228,0.71426,0.63514,0.61997,0.42774,1.21374,1.40214,1.2446,0.007129,0.007129,0.007129
31,2937.2,1.04582,0.96277,1.29244,0.70091,0.64922,0.6331,0.43438,1.21373,1.35143,1.22455,0.00703,0.00703,0.00703
32,3029.71,1.03134,0.9634,1.28554,0.77551,0.63024,0.62068,0.41993,1.20488,1.37889,1.24013,0.006931,0.006931,0.006931
33,3125.38,1.04046,0.96911,1.28912,0.66118,0.62162,0.60159,0.39351,1.21275,1.52695,1.25332,0.006832,0.006832,0.006832
34,3219.32,1.02073,0.94476,1.27813,0.72485,0.66216,0.67094,0.43315,1.18028,1.29373,1.21976,0.006733,0.006733,0.006733
35,3312.13,1.00324,0.92721,1.2658,0.63691,0.65541,0.64744,0.4396,1.17171,1.36975,1.19365,0.006634,0.006634,0.006634
36,3404.75,1.01891,0.93145,1.27585,0.751,0.60811,0.63735,0.42187,1.20607,1.32889,1.21945,0.006535,0.006535,0.006535
37,3497.42,0.99606,0.90911,1.25562,0.72183,0.60135,0.64115,0.43137,1.18968,1.39013,1.22071,0.006436,0.006436,0.006436
38,3590.89,0.98983,0.91786,1.25313,0.78375,0.62162,0.65787,0.45681,1.16096,1.30584,1.20034,0.006337,0.006337,0.006337
39,3684.35,0.98653,0.90807,1.25667,0.73098,0.61486,0.65998,0.44702,1.22257,1.36616,1.2179,0.006238,0.006238,0.006238
40,3776.98,1.00604,0.90876,1.26376,0.7701,0.63514,0.66493,0.43933,1.18321,1.31457,1.20965,0.006139,0.006139,0.006139
41,3868.86,0.98083,0.89733,1.25503,0.78579,0.64865,0.66156,0.4821,1.13592,1.27629,1.20525,0.00604,0.00604,0.00604
42,3960.69,0.96997,0.88054,1.24073,0.69909,0.63514,0.67272,0.48255,1.09194,1.22773,1.17429,0.005941,0.005941,0.005941
43,4052.71,0.96998,0.87557,1.248,0.76082,0.60135,0.65884,0.46628,1.11598,1.21567,1.15838,0.005842,0.005842,0.005842
44,4144.54,0.97567,0.89322,1.25207,0.77993,0.64654,0.69457,0.48903,1.09762,1.18989,1.15823,0.005743,0.005743,0.005743
45,4236.01,0.97399,0.87472,1.2467,0.81956,0.64448,0.68036,0.47519,1.10018,1.27449,1.19626,0.005644,0.005644,0.005644
46,4328.47,0.97253,0.87297,1.25439,0.72828,0.66216,0.66439,0.44383,1.1493,1.33156,1.1715,0.005545,0.005545,0.005545
47,4420.77,0.95996,0.8659,1.24467,0.78762,0.66216,0.67327,0.477,1.13932,1.29126,1.15054,0.005446,0.005446,0.005446
48,4512.28,0.96029,0.85433,1.231,0.71042,0.64189,0.6688,0.48428,1.12666,1.24284,1.19493,0.005347,0.005347,0.005347
49,4606.38,0.94205,0.83909,1.22475,0.74546,0.6728,0.67302,0.47206,1.10477,1.24798,1.19012,0.005248,0.005248,0.005248
50,4698.87,0.94033,0.83212,1.22153,0.72783,0.65541,0.66297,0.4731,1.09489,1.19797,1.15297,0.005149,0.005149,0.005149
51,4790.93,0.93666,0.82734,1.22363,0.85545,0.59459,0.67161,0.48735,1.04954,1.1792,1.16369,0.00505,0.00505,0.00505
52,4882.11,0.9385,0.83659,1.21625,0.77594,0.67858,0.70037,0.4946,1.06649,1.2015,1.14737,0.004951,0.004951,0.004951
53,4973.34,0.93438,0.84612,1.21825,0.76058,0.64393,0.71944,0.50315,1.0902,1.16843,1.14205,0.004852,0.004852,0.004852
54,5064.09,0.9265,0.82919,1.21546,0.78429,0.63875,0.69318,0.48753,1.07003,1.20298,1.13893,0.004753,0.004753,0.004753
55,5155.79,0.93392,0.82171,1.21191,0.79919,0.64538,0.69498,0.51082,1.04144,1.18923,1.11771,0.004654,0.004654,0.004654
56,5248.63,0.91847,0.81331,1.20634,0.83596,0.68919,0.71566,0.51952,1.06447,1.16708,1.1103,0.004555,0.004555,0.004555
57,5341.02,0.91892,0.81561,1.20854,0.72913,0.72753,0.7057,0.51794,1.00235,1.12324,1.11404,0.004456,0.004456,0.004456
58,5432.44,0.90754,0.78728,1.20073,0.84978,0.68798,0.72427,0.50901,1.036,1.13464,1.10689,0.004357,0.004357,0.004357
59,5523.99,0.91739,0.80088,1.21198,0.82125,0.64865,0.69799,0.52022,1.03826,1.16352,1.13748,0.004258,0.004258,0.004258
60,5615.74,0.92417,0.81406,1.2171,0.79399,0.64865,0.70391,0.50198,1.06662,1.19737,1.13803,0.004159,0.004159,0.004159
61,5707.24,0.89856,0.798,1.19689,0.7886,0.69595,0.71274,0.52231,1.01321,1.14428,1.12846,0.00406,0.00406,0.00406
62,5799.5,0.90483,0.78843,1.19667,0.82667,0.65541,0.70842,0.51307,0.97908,1.15213,1.09952,0.003961,0.003961,0.003961
